"CODGEO","Part_actif_salaries","Population","Rurale","Prixm2Moyen","Revenu_median","Retraite","Densité_médicale_BV","Score_équipement_santé","Nb_mineurs","Nb_etudiants","nb_entreprises","Score_urbanité"
"33211",90.22556391,634,"1",1997.5,21229.1304347826,88.6490066225166,1,1,794,53,17,0
"33212",74.28571429,97,"1",1088,18298.0952380952,27.2075471698113,0.137445524639625,4,113,6,1,0
"33213",85.6109906,3129,"0",2663.83720930233,25703.3333333333,787.469438290052,0.131411330874958,3,3756,248,254,12.5
"33214",76.89655172,3129,"1",3472.61349693252,21978.6666666667,1315.79393958904,0.125041904123366,3,3555,146,548,0
"33215",67.94871795,186,"1",647,19241.5,40,0.140797854508884,4,212,8,9,0
"33216",73.33333333,116,"1",1560,18625,34.0056818181818,0.137445524639625,4,126,4,4,0
"33218",83.00395257,1294,"1",1131.77777777778,19091.5476190476,375.320551228281,0.0982232651692927,3,1550,96,50,0
"33219",87.06467662,1867,"1",1819.7619047619,22564,500,0.107274555816292,4,2287,181,82,0
"33220",88.98809524,955,"1",1493.66666666667,19520,278,0.13208179684881,4,1139,64,37,0
"33221",79.02439024,1042,"1",973.125,16953.8461538462,318.929634075205,0.126047603084143,4,1217,73,63,0
"33222",81.53846154,612,"0",1215.66666666667,22462,141.676646706587,0.137110291652699,4,707,43,26,50
"33223",64.51612903,161,"1",1532.74188888889,17620,90,1,1,190,8,15,0
"33224",78.04878049,108,"1",1538,20175,22.8011298776087,0.126047603084143,4,127,5,5,0
"33225",81.86528497,1505,"1",1576.72222222222,20637.3333333333,443.715133065376,0.140797854508884,4,1795,103,79,0
"33226",86.61887694,1992,"0",1286.47619047619,20611.9047619048,524.230242032499,0.153536708012068,3,2304,145,119,25
"33227",86.74546222,6168,"0",1718.66071428571,17816.6666666667,2204.42459942039,0.140797854508884,4,7037,340,852,25
"33228",79.42238267,640,"1",1746.5,19659.3333333333,129.278779472954,0.138451223600402,4,758,46,30,0
"33229",85.31791908,4960,"0",3113.18348623853,22131.3333333333,2204,0.14850821320818,2,5770,285,257,37.5
"33230",80.1369863,429,"1",1501.66666666667,18005.5555555556,108.017000191658,0.141803553469661,3,494,19,28,0
"33231",80,230,"1",1537.766125,22328.6666666667,34.6315789473684,0.124371438149514,4,256,7,6,0
